x,y
0,8
1,11
2,14
3,11
4,11
5,5
6,14
7,9
8,7
9,8
10,6
11,9
12,11
13,4
14,9
15,14
16,15
17,15
18,11
19,8
20,7
21,10
22,12
23,15
24,7
25,9
26,9
27,12
28,10
29,14
30,12
31,7
32,10
33,6
34,5
35,12
36,13
37,10
38,18
39,10
40,19
41,13
42,12
43,6
44,8
45,9
46,13
47,11
48,9
49,17
50,15
51,14
52,9
53,13
54,7
55,9
56,8
57,5
58,9
59,14
60,18
61,10
62,13
63,13
64,10
65,8
66,8
67,11
68,9
69,9
70,6
71,4
72,10
73,11
74,10
75,17
76,7
77,11
78,16
79,8
80,14
81,13
82,14
83,13
84,10
85,17
86,11
87,14
88,8
89,12
90,6
91,15
92,10
93,15
94,9
95,9
96,13
97,10
98,12
99,10
100,8
101,5
102,12
103,11
104,15
105,18
106,11
107,7
108,9
109,10
110,11
111,11
112,7
113,8
114,12
115,12
116,7
117,8
118,10
119,12
120,13
121,7
122,9
123,4
124,9
125,13
126,10
127,14
128,10
129,9
130,7
131,14
132,11
133,16
134,10
135,9
136,13
137,15
138,10
139,8
140,18
141,12
142,6
143,12
144,5
145,16
146,10
147,8
148,7
149,10
150,8
151,8
152,11
153,11
154,9
155,6
156,15
157,16
158,16
159,12
160,19
161,17
162,9
163,7
164,6
165,10
166,11
167,5
168,11
169,5
170,9
171,13
172,8
173,11
174,11
175,10
176,16
177,10
178,8
179,14
180,8
181,8
182,11
183,12
184,10
185,11
186,6
187,9
188,11
189,12
190,13
191,12
192,15
193,10
194,16
195,9
196,14
197,6
198,9
199,11
200,13
201,11
202,15
203,12
204,8
205,9
206,12
207,7
208,3
209,11
210,11
211,11
212,8
213,5
214,6
215,8
216,15
217,7
218,8
219,13
220,10
221,7
222,7
223,10
224,11
225,13
226,9
227,6
228,9
229,8
230,10
231,16
232,9
233,11
234,4
235,13
236,6
237,8
238,10
239,10
240,14
241,11
242,6
243,13
244,5
245,9
246,6
247,10
248,8
249,10
250,9
251,7
252,9
253,8
254,5
255,16
256,8
257,14
258,9
259,8
260,7
261,9
262,10
263,14
264,12
265,14
266,11
267,8
268,13
269,10
270,9
271,3
272,11
273,12
274,5
275,7
276,12
277,6
278,3
279,12
280,7
281,15
282,9
283,10
284,13
285,8
286,12
287,10
288,6
289,15
290,7
291,16
292,12
293,14
294,12
295,7
296,7
297,11
298,13
299,7
300,8
301,13
302,12
303,11
304,18
305,13
306,13
307,5
308,17
309,10
310,7
311,12
312,11
313,4
314,7
315,13
316,8
317,8
318,9
319,11
320,12
321,10
322,6
323,9
324,13
325,8
326,9
327,11
328,11
329,6
330,10
331,5
332,7
333,13
334,7
335,10
336,6
337,9
338,4
339,14
340,9
341,15
342,8
343,8
344,9
345,10
346,17
347,9
348,5
349,8
350,8
351,8
352,19
353,7
354,7
355,6
356,13
357,6
358,12
359,7
360,8
361,7
362,11
363,7
364,9
365,9
366,10
367,8
368,14
369,11
370,12
371,9
372,9
373,14
374,10
375,4
376,9
377,11
378,8
379,9
380,19
381,7
382,12
383,6
384,8
385,11
386,8
387,6
388,11
389,4
390,10
391,14
392,10
393,7
394,5
395,9
396,11
397,10
398,4
399,9
400,4
401,14
402,7
403,11
404,12
405,14
406,20
407,8
408,10
409,12
410,9
411,12
412,10
413,13
414,10
415,22
416,13
417,9
418,12
419,11
420,2
421,8
422,9
423,11
424,16
425,7
426,7
427,5
428,6
429,11
430,9
431,5
432,8
433,9
434,13
435,12
436,7
437,7
438,11
439,10
440,7
441,11
442,9
443,12
444,11
445,6
446,8
447,10
448,10
449,6
450,10
451,9
452,13
453,14
454,14
455,13
456,5
457,11
458,11
459,7
460,7
461,12
462,10
463,6
464,8
465,7
466,13
467,9
468,11
469,8
470,11
471,16
472,11
473,8
474,9
475,16
476,13
477,3
478,4
479,7
480,10
481,16
482,12
483,11
484,14
485,9
486,14
487,12
488,18
489,8
490,14
491,10
492,7
493,12
494,10
495,10
496,7
497,8
498,11
499,7
